volume_rank,permno,permco,ticker,comnam,shrcd,exchcd,trading_days,first_trade_date,last_trade_date,avg_volume,avg_dollar_volume,avg_abs_price,avg_shares_outstanding,latest_name_start,latest_name_end,avg_volume_millions,avg_dollar_volume_billions
1,70519,20483,C,CITIGROUP INC,11,1,3017,2003-01-02,2014-12-31,129660535.3513424,1341212061.731301,34.40689506131919,7525639.548226715,2014-07-31,2015-02-04,129.6605353513424,1.341212061731301
2,59408,3151,BAC,BANK OF AMERICA CORP,11,1,3021,2003-01-02,2014-12-31,106255929.19927175,1530117710.535912,32.93779063224098,6753938.952002648,2014-05-14,2015-06-30,106.25592919927175,1.530117710535912
3,10107,8048,MSFT,MICROSOFT CORP,11,3,3021,2003-01-02,2014-12-31,60852797.8735518,1698544211.640615,28.871619331347237,9287395.733200926,2004-06-10,2024-03-11,60.8527978735518,1.698544211640615
4,59328,2367,INTC,INTEL CORP,11,3,3021,2003-01-02,2014-12-31,58304313.05693479,1301338658.3896046,22.974088414432305,5640616.423369745,2004-06-10,2024-12-31,58.30431305693479,1.3013386583896045
5,80924,13304,SIRI,SIRIUS X M HOLDINGS INC,11,3,3021,2003-01-02,2014-12-31,54902769.14366104,149957178.47149524,2.7956926845415424,3002843.5690168818,2013-11-15,2023-04-10,54.90276914366104,0.14995717847149523
6,13407,54084,FB,FACEBOOK INC,11,3,659,2012-05-18,2014-12-31,53841189.4430956,2412255975.5367937,45.66545235204856,1649992.019726859,2012-05-18,2019-09-16,53.8411894430956,2.4122559755367936
7,76076,10486,CSCO,CISCO SYSTEMS INC,11,3,3021,2003-01-02,2014-12-31,52554805.323733866,1103687922.0636168,21.356841012909634,5914130.012578616,2014-02-13,2024-12-31,52.554805323733866,1.1036879220636167
8,83332,31614,LU,LUCENT TECHNOLOGIES INC,11,1,987,2003-01-02,2006-11-30,50433613.97163121,145859070.90121582,2.821388044579534,4295129.346504559,2004-06-10,2006-11-30,50.4336139716312,0.14585907090121583
9,12060,20792,GE,GENERAL ELECTRIC CO,11,1,3021,2003-01-02,2014-12-31,47783257.958291955,1061056424.9007381,26.208637272426348,10404899.974511752,2014-01-08,2021-08-01,47.783257958291955,1.0610564249007381
10,25785,20750,F,FORD MOTOR CO DEL,11,1,3021,2003-01-02,2014-12-31,45046442.38695796,466182515.2986726,10.877936908308508,2702234.1016219794,2004-06-10,2024-06-30,45.046442386957956,0.4661825152986726
11,10078,8021,JAVA,SUN MICROSYSTEMS INC,11,3,1779,2003-01-02,2010-01-26,42007343.90275436,222248369.01951826,6.248004496908376,2577796.7537942664,2007-12-11,2010-01-26,42.00734390275436,0.22224836901951825
12,21936,21394,PFE,PFIZER INC,11,1,3021,2003-01-02,2014-12-31,37329200.43363125,847345097.0225389,24.594758920887124,7276891.105594174,2004-06-10,2021-04-04,37.32920043363125,0.8473450970225389
13,10104,8045,ORCL,ORACLE CORP,11,1,3021,2003-01-02,2014-12-31,34391781.399867594,698290007.0715928,22.70092896391923,5015003.072492552,2013-07-15,2023-06-26,34.3917813998676,0.6982900070715928
14,39087,21833,S,SPRINT NEXTEL CORP,11,1,2648,2003-01-02,2013-07-10,32981268.774169184,241714617.49839503,11.754005098187312,2444001.437311178,2005-10-27,2013-07-10,32.98126877416919,0.241714617498395
15,38703,21305,WFC,WELLS FARGO & CO NEW,11,1,3021,2003-01-02,2014-12-31,26951684.364779875,809562772.1704733,40.93104104601125,3740991.6878517047,2014-01-15,2024-12-31,26.951684364779876,0.8095627721704733
16,47896,20436,JPM,JPMORGAN CHASE & CO,11,1,3021,2003-01-02,2014-12-31,26833598.929493546,1064690166.1963124,41.833560278053625,3489105.283349884,2013-11-05,2016-06-22,26.833598929493547,1.0646901661963124
17,14295,54638,TWTR,TWITTER INC,11,1,289,2013-11-07,2014-12-31,23215502.97231834,1058887223.1852249,45.99,583667.4844290657,2013-11-07,2022-10-27,23.21550297231834,1.0588872231852249
18,11081,9833,DELL,DELL INC,11,3,2726,2003-01-02,2013-10-29,22962272.155172415,477806925.39603776,22.207177842993396,2125267.2171680117,2012-05-23,2013-10-29,22.962272155172414,0.47780692539603775
19,14593,7,AAPL,APPLE INC,11,3,3021,2003-01-02,2014-12-31,22806523.49652433,4433260526.98395,213.3357660509765,1039750.4753392916,2007-01-11,2017-12-27,22.80652349652433,4.43326052698395
20,13169,53965,ZNGA,ZYNGA INC,11,3,764,2011-12-16,2014-12-31,22773497.62172775,95407301.36346413,4.4494408376963355,565126.2107329842,2012-05-02,2020-04-08,22.77349762172775,0.09540730136346413
21,53613,7065,MU,MICRON TECHNOLOGY INC,11,3,3021,2003-01-02,2014-12-31,22562108.677590203,259862063.88379824,11.75805283018868,826457.6825554452,2009-12-30,2024-12-31,22.562108677590203,0.25986206388379823
22,83435,14521,YHOO,YAHOO INC,11,3,3021,2003-01-02,2014-12-31,22270208.27573651,563677242.2673595,26.03428609731877,1210740.9986759352,2014-01-10,2017-06-16,22.27020827573651,0.5636772422673595
23,14702,194,AMAT,APPLIED MATERIALS INC,11,3,3021,2003-01-02,2014-12-31,22142627.13836478,361365435.65572387,16.018421946375373,1410079.02714333,2014-01-10,2018-01-25,22.14262713836478,0.3613654356557239
24,66093,21645,T,A T & T INC,11,1,3021,2003-01-02,2014-12-31,22072898.192982458,678822279.3310527,30.012060476663358,5013878.858325058,2014-01-09,2021-02-16,22.072898192982457,0.6788222793310527
25,10147,8093,EMC,E M C CORP MA,11,1,3021,2003-01-02,2014-12-31,21889033.161866933,395942487.7167408,18.081245878848062,2158473.661039391,2004-06-10,2016-09-06,21.889033161866934,0.3959424877167408
26,14040,54473,S,SPRINT CORP NEW,11,1,372,2013-07-12,2014-12-31,21469909.8844086,150454095.75849462,7.261448924731183,3937363.2123655914,2014-05-21,2016-12-18,21.4699098844086,0.1504540957584946
