volume_rank,permno,ticker,company_name,batch_status,cache_dir,wrds_ok,yahoo_ok,ravenpack_ok,refinitiv_ok,ravenpack_rows,avg_articles_per_week,passes_weekly_threshold,refinitiv_headline_rows,has_usable_refinitiv_headlines
1,70519,C,CITIGROUP INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0001_C,True,True,True,True,864684,1380.9692,True,37527,True
2,59408,BAC,BANK OF AMERICA CORP,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0002_BAC,True,True,True,True,617852,986.7588,True,23075,True
3,10107,MSFT,MICROSOFT CORP,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0003_MSFT,True,True,True,True,499136,797.1599,True,25595,True
4,59328,INTC,INTEL CORP,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0004_INTC,True,True,True,True,140275,224.0303,True,16018,True
5,80924,SIRI,SIRIUS X M HOLDINGS INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0005_SIRI,True,True,True,True,38557,61.5786,True,2164,True
6,13407,FB,FACEBOOK INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0006_FB,True,True,True,True,564719,901.9012,True,0,False
7,76076,CSCO,CISCO SYSTEMS INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0007_CSCO,True,True,True,True,189847,303.2008,True,9357,True
9,12060,GE,GENERAL ELECTRIC CO,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0009_GE,True,True,True,True,326403,521.2916,True,3,False
10,25785,F,FORD MOTOR CO DEL,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0010_F,True,True,True,True,190905,304.8905,True,22363,True
12,21936,PFE,PFIZER INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0012_PFE,True,True,True,True,182589,291.6092,True,13687,True
13,10104,ORCL,ORACLE CORP,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0013_ORCL,True,True,True,True,100214,160.0497,True,6954,True
14,39087,S,SPRINT NEXTEL CORP,partial,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0014_S,True,False,True,False,4114,6.5704,True,0,False
15,38703,WFC,WELLS FARGO & CO NEW,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0015_WFC,True,True,True,True,296923,474.2097,True,7980,True
16,47896,JPM,JPMORGAN CHASE & CO,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0016_JPM,True,True,True,True,1054352,1683.8841,True,1,False
18,11081,DELL,DELL INC,partial,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0018_DELL,True,False,True,False,75758,120.9916,True,0,False
19,14593,AAPL,APPLE INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0019_AAPL,True,True,True,True,311041,496.7572,True,27210,True
21,53613,MU,MICRON TECHNOLOGY INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0021_MU,True,True,True,True,38052,60.7721,True,1877,True
23,14702,AMAT,APPLIED MATERIALS INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0023_AMAT,True,True,True,True,39950,63.8033,True,3030,True
24,66093,T,A T & T INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0024_T,True,True,True,True,196095,313.1793,True,10663,True
26,14040,S,SPRINT CORP NEW,partial,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0026_S,True,False,True,False,4114,6.5704,True,0,False
27,61241,AMD,ADVANCED MICRO DEVICES INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0027_AMD,True,True,True,True,45948,73.3826,True,1499,True
28,11850,XOM,EXXON MOBIL CORP,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0028_XOM,True,True,True,True,164005,261.929,True,1,False
29,51043,FNM,FEDERAL NATIONAL MORTGAGE ASSN,partial,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0029_FNM,True,False,True,False,145479,232.3415,True,0,False
30,66800,AIG,AMERICAN INTERNATIONAL GROUP INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0030_AIG,True,True,True,True,102221,163.2551,True,10714,True
31,24643,AA,ALCOA INC,partial,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0031_AA,True,True,True,False,48700,77.7778,True,0,False
33,27828,HPQ,HEWLETT PACKARD CO,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0033_HPQ,True,True,True,True,162140,258.9505,True,5,False
35,79879,JDSU,J D S UNIPHASE CORP,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0035_JDSU,True,True,True,True,32656,52.1542,True,0,False
36,22779,MSI,MOTOROLA SOLUTIONS INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0036_MSI,True,True,True,True,119535,190.9069,True,2225,True
37,36469,WB,WACHOVIA CORP 2ND NEW,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0037_WB,True,True,True,True,729,1.1643,True,76,False
38,89525,CMCSA,COMCAST CORP NEW,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0038_CMCSA,True,True,True,True,132683,211.9053,True,6778,True
39,77178,QCOM,QUALCOMM INC,complete,/Users/armandoordoricadelatorre/Documents/U of T/PhD/PhD Research/Sentiment_learn_to_rank_paper/data/raw/data_explorer_top1k/by_ticker/rank_0039_QCOM,True,True,True,True,86645,138.379,True,5631,True
