month,ticker,comnam,open_price,close_price,avg_price,trading_days
2003-01-01,AAPL,APPLE INC,14.36,14.36,14.475238095238096,21
2003-02-01,AAPL,APPLE INC,14.41,15.01,14.663684210526316,19
2003-03-01,AAPL,APPLE INC,15.01,14.14,14.60190476190476,21
2003-04-01,AAPL,APPLE INC,14.2,14.22,13.848571428571429,21
2003-05-01,AAPL,APPLE INC,14.25,17.95,17.77,21
2003-06-01,AAPL,APPLE INC,18.1,19.06,18.175714285714285,21
2003-07-01,AAPL,APPLE INC,18.87,21.08,20.251772727272726,22
2003-08-01,AAPL,APPLE INC,21.0,22.61,20.62666666666667,21
2003-09-01,AAPL,APPLE INC,22.66,20.72,22.152380952380952,21
2003-10-01,AAPL,APPLE INC,20.71,22.89,23.00913043478261,23
2003-11-01,AAPL,APPLE INC,22.83,20.91,21.60183684210526,19
2003-12-01,AAPL,APPLE INC,21.04,21.37,20.673636363636362,22
2004-01-01,AAPL,APPLE INC,21.55,22.56,22.801499999999997,20
2004-02-01,AAPL,APPLE INC,22.46,23.92,22.804578947368423,19
2004-03-01,AAPL,APPLE INC,24.09,27.04,26.198260869565214,23
2004-04-01,AAPL,APPLE INC,26.9,25.78,27.526190476190475,21
2004-05-01,AAPL,APPLE INC,26.0,28.06,27.077999999999996,20
2004-06-01,AAPL,APPLE INC,27.79,32.54,31.331904761904763,21
2004-07-01,AAPL,APPLE INC,32.08,32.34,31.289047619047622,21
2004-08-01,AAPL,APPLE INC,31.22,34.49,31.748636363636365,22
2004-09-01,AAPL,APPLE INC,34.3,38.75,36.68571428571428,21
2004-10-01,AAPL,APPLE INC,39.12,52.4,44.364761904761906,21
2004-11-01,AAPL,APPLE INC,52.5,67.05,57.46452380952381,21
2004-12-01,AAPL,APPLE INC,67.63,64.4,64.49845454545455,22
2005-01-01,AAPL,APPLE INC,64.78,76.9,69.2285,20
2005-02-01,AAPL,APPLE INC,77.1,44.86,81.37105263157895,19
2005-03-01,AAPL,APPLE INC,44.99,41.67,41.997772727272725,22
2005-04-01,AAPL,APPLE INC,42.09,36.06,38.73095238095238,21
2005-05-01,AAPL,APPLE INC,36.26,39.7593,37.321871428571434,21
2005-06-01,AAPL,APPLE INC,40.0,36.81,37.59090909090909,22
2005-07-01,AAPL,APPLE INC,36.83,42.65,40.911,20
2005-08-01,AAPL,APPLE INC,42.57,46.89,45.06521739130435,23
2005-09-01,AAPL,APPLE INC,46.99,53.61,51.014761904761905,21
2005-10-01,AAPL,APPLE INC,54.16,57.59,53.9381,21
2005-11-01,AAPL,APPLE INC,57.24,67.82,63.55618571428572,21
2005-12-01,AAPL,APPLE INC,69.93,71.89,73.00717142857143,21
2006-01-01,AAPL,APPLE INC,72.38,75.51,77.809755,20
2006-02-01,AAPL,APPLE INC,74.95,68.49,69.51905263157894,19
2006-03-01,AAPL,APPLE INC,68.84,62.72,64.03521739130434,23
2006-04-01,AAPL,APPLE INC,63.65,70.39,67.00368421052632,19
2006-05-01,AAPL,APPLE INC,70.77,59.77,66.78222727272727,22
2006-06-01,AAPL,APPLE INC,59.865,57.27,58.709909090909086,22
2006-07-01,AAPL,APPLE INC,57.52,67.96,57.870475,20
