month,ticker,comnam,avg_daily_volume_millions,trading_days
2003-01-01,AAPL,APPLE INC,5.263110380952381,21
2003-02-01,AAPL,APPLE INC,3.9553227368421053,19
2003-03-01,AAPL,APPLE INC,3.4670598095238097,21
2003-04-01,AAPL,APPLE INC,6.690958952380953,21
2003-05-01,AAPL,APPLE INC,9.28045642857143,21
2003-06-01,AAPL,APPLE INC,5.343308619047619,21
2003-07-01,AAPL,APPLE INC,4.3308682727272725,22
2003-08-01,AAPL,APPLE INC,3.733269523809524,21
2003-09-01,AAPL,APPLE INC,4.780580904761905,21
2003-10-01,AAPL,APPLE INC,5.547382304347826,23
2003-11-01,AAPL,APPLE INC,4.738795473684211,19
2003-12-01,AAPL,APPLE INC,4.507483727272727,22
2004-01-01,AAPL,APPLE INC,7.14815645,20
2004-02-01,AAPL,APPLE INC,4.666861421052632,19
2004-03-01,AAPL,APPLE INC,9.114006652173913,23
2004-04-01,AAPL,APPLE INC,7.66024542857143,21
2004-05-01,AAPL,APPLE INC,4.7767134,20
2004-06-01,AAPL,APPLE INC,7.122570523809524,21
2004-07-01,AAPL,APPLE INC,8.266321238095239,21
2004-08-01,AAPL,APPLE INC,6.550131454545454,22
2004-09-01,AAPL,APPLE INC,6.586986238095237,21
2004-10-01,AAPL,APPLE INC,13.798035904761905,21
2004-11-01,AAPL,APPLE INC,14.914231666666668,21
2004-12-01,AAPL,APPLE INC,13.10815581818182,22
2005-01-01,AAPL,APPLE INC,22.9872117,20
2005-02-01,AAPL,APPLE INC,20.86060905263158,19
2005-03-01,AAPL,APPLE INC,24.01226159090909,22
2005-04-01,AAPL,APPLE INC,33.22780671428571,21
2005-05-01,AAPL,APPLE INC,22.06799876190476,21
2005-06-01,AAPL,APPLE INC,18.675621954545452,22
2005-07-01,AAPL,APPLE INC,18.343681750000002,20
2005-08-01,AAPL,APPLE INC,14.804335130434783,23
2005-09-01,AAPL,APPLE INC,21.125774,21
2005-10-01,AAPL,APPLE INC,31.91201819047619,21
2005-11-01,AAPL,APPLE INC,23.02871695238095,21
2005-12-01,AAPL,APPLE INC,22.37867119047619,21
2006-01-01,AAPL,APPLE INC,39.28558925,20
2006-02-01,AAPL,APPLE INC,35.36405005263158,19
2006-03-01,AAPL,APPLE INC,36.09324395652174,23
2006-04-01,AAPL,APPLE INC,37.902669315789474,19
2006-05-01,AAPL,APPLE INC,25.400332636363636,22
2006-06-01,AAPL,APPLE INC,29.213737818181816,22
2006-07-01,AAPL,APPLE INC,31.28790505,20
2006-08-01,AAPL,APPLE INC,27.84365147826087,23
2006-09-01,AAPL,APPLE INC,31.726890400000002,20
2006-10-01,AAPL,APPLE INC,23.41517677272727,22
2006-11-01,AAPL,APPLE INC,23.572671666666665,21
2006-12-01,AAPL,APPLE INC,30.305116449999996,20
2007-01-01,AAPL,APPLE INC,48.92363175,20
2007-02-01,AAPL,APPLE INC,25.84937847368421,19
2007-03-01,AAPL,APPLE INC,25.894142681818185,22
2007-04-01,AAPL,APPLE INC,24.178068,20
2007-05-01,AAPL,APPLE INC,27.83721790909091,22
2007-06-01,AAPL,APPLE INC,39.71776976190476,21
2007-07-01,AAPL,APPLE INC,41.137811666666664,21
2007-08-01,AAPL,APPLE INC,37.86314891304348,23
2007-09-01,AAPL,APPLE INC,39.37589563157895,19
2007-10-01,AAPL,APPLE INC,36.18352486956522,23
2007-11-01,AAPL,APPLE INC,44.58544690476191,21
2007-12-01,AAPL,APPLE INC,30.8326304,20
2008-01-01,AAPL,APPLE INC,59.86299614285714,21
2008-02-01,AAPL,APPLE INC,44.406251100000006,20
2008-03-01,AAPL,APPLE INC,40.981413450000005,20
2008-04-01,AAPL,APPLE INC,37.03561609090909,22
2008-05-01,AAPL,APPLE INC,31.626264476190478,21
2008-06-01,AAPL,APPLE INC,33.141040952380955,21
2008-07-01,AAPL,APPLE INC,32.07001709090909,22
2008-08-01,AAPL,APPLE INC,22.260179285714283,21
2008-09-01,AAPL,APPLE INC,40.93991571428572,21
2008-10-01,AAPL,APPLE INC,64.343717,23
2008-11-01,AAPL,APPLE INC,44.426491842105264,19
2008-12-01,AAPL,APPLE INC,33.11471481818182,22
2009-01-01,AAPL,APPLE INC,32.6395968,20
2009-02-01,AAPL,APPLE INC,27.12585884210526,19
2009-03-01,AAPL,APPLE INC,26.03983781818182,22
2009-04-01,AAPL,APPLE INC,20.669363095238094,21
2009-05-01,AAPL,APPLE INC,17.32854535,20
2009-06-01,AAPL,APPLE INC,21.090452272727273,22
2009-07-01,AAPL,APPLE INC,18.199146272727273,22
2009-08-01,AAPL,APPLE INC,14.336010761904761,21
